city,cy,cx,airport,airport_y,airport_x
阿克苏,41.188341,80.293842,阿克苏机场,41.26940127,80.30091874
阿勒泰,47.89013573,87.92621436,阿勒泰机场,47.75797257,88.09238741
安庆,30.53789782,117.0587388,天柱山机场,30.58957072,117.0587858
包头,40.64711943,109.8462385,二里半机场,40.57220914,110.0086252
保山,25.1204892,99.17799561,保山机场,25.05772827,99.1721355
北海,21.47271824,109.1226279,福成机场,21.54417389,109.2983955
北京,39.92998578,116.395645,首都机场,40.06248537,116.5992671
北京,39.92998578,116.395645,大兴机场,39.80891025,116.4018081
百色,23.90151237,106.6318214,右江机场,23.94186559,106.5055964
长春,43.89833761,125.3136424,龙嘉机场,44.000324,125.70324
长沙,28.21347823,112.9793528,黄花机场,28.19897181,113.2261229
长治,36.20166439,113.1202921,王村机场,36.25239048,113.1348021
常德,29.01214886,111.6537181,桃花源机场,28.92699599,111.6490139
常州,31.77139674,119.981861,奔牛机场,31.91768898,119.7911817
成都,30.67994285,104.0679235,双流机场,30.58461845,103.9652352
赤峰,42.29711232,118.9307612,赤峰机场,42.24636728,118.9241612
重庆,29.54460611,106.530635,江北机场,29.715551,106.661763
昌都,31.145369,97.18425,邦达机场,30.5556888,97.11272694
朝阳,41.589103,120.446573,朝阳机场,41.54791241,120.4459807
达州,31.21419886,107.4949734,达州机场,31.21419886,107.4949734
大理,25.69396662,100.219209,大理机场,25.65402197,100.3295549
大连,38.94870994,121.5934778,周水子机场,38.96824596,121.5501575
丹东,40.12902283,124.3385431,浪头机场,40.03955055,124.2932907
东营,37.40866629,118.6126431,东营机场,37.51037968,118.797062
敦煌,40.174113,94.792135,敦煌机场,40.17086538,94.80981598
大同,40.12684,113.311035,大同机场,40.06268009,113.4960539
大庆,46.59670902,125.0218397,大庆机场,46.59670902,125.0218397
鄂尔多斯,39.81648956,109.9937063,鄂尔多斯机场,39.50591468,109.8730183
恩施,30.30897851,109.5174327,许家坪机场,30.32400982,109.4933292
福州,26.0471255,119.3302211,长乐机场,25.93424336,119.6801328
阜阳,32.90121133,115.8209323,阜阳机场,32.88287934,115.7505038
赣州,25.84529554,114.9359091,黄金机场,25.85146978,114.7901984
格尔木,36.40762,94.909603,格尔木机场,36.40814134,94.80122085
广州,23.1200491,113.3076497,白云机场,23.19093714,113.2728721
贵阳,26.62990674,106.7091771,龙洞堡机场,26.54688851,106.8048428
桂林,25.26290125,110.2609201,两江机场,25.22101289,110.0583873
哈尔滨,45.77322463,126.6577169,太平机场,45.62907772,126.2496215
海口,20.02207128,110.3308018,美兰机场,19.94518993,110.4673336
哈密,42.3444671,93.52937301,哈密机场,42.3444671,93.52937301
海拉尔,49.27924546,120.0428821,东山机场,49.21954794,119.8320182
邯郸,36.60930793,114.4826939,邯郸机场,36.53155155,114.4392512
汉中,33.08156898,107.0454776,城固机场,33.22358283,107.260837
杭州,30.25924446,120.2193754,萧山机场,30.24722389,120.4414091
合肥,31.86694226,117.2826991,新桥机场,31.992553,116.975718
和田,37.15334974,79.91581373,和田机场,37.04328485,79.87657551
黑河,50.25069009,127.5008303,黑河机场,50.18595764,127.3266654
呼和浩特,40.82831887,111.6603505,白塔机场,40.86199118,111.8277069
黄山,29.72189,118.345437,屯溪机场,29.736128,118.267355
济南,36.68278473,117.0249671,遥墙机场,36.85781551,117.2202663
济宁,35.40212166,116.6007976,济宁机场,35.40212166,116.6007976
佳木斯,46.8137796,130.2847346,东郊机场,46.851637,130.477527
嘉峪关,39.80239733,98.28163459,嘉峪关机场,39.86738768,98.34528685
锦州,41.13087888,121.1477487,锦州湾机场,40.93813846,121.2935633
井冈山,26.63314954,114.1254392,井冈山机场,26.63314954,114.1254392
景德镇,29.30356277,117.1865226,景德镇机场,29.34016931,117.1910311
鸡西,45.32153989,130.9417673,兴凯湖机场,45.30867829,131.1926102
喀什,39.51311059,76.0143428,喀什机场,39.5466715,76.0208324
库尔勒,41.70549991,85.7094176,库尔勒机场,41.62257112,86.14918499
昆明,25.0491531,102.7146011,长水机场,25.102871,102.935615
克拉玛依,45.20391925,84.92698963,克拉玛依机场,45.47416037,84.96390522
拉萨,29.66255706,91.1118909,贡嘎机场,29.29612062,90.9083204
兰州,36.06422553,103.8233054,中川机场,36.51357729,103.6246677
丽江,26.87535109,100.2296284,三义机场,26.67497842,100.2548497
连云港,34.60154897,119.1738722,白塔埠机场,34.57057391,118.8884076
临沧,23.8878061,100.0926129,临沧机场,23.74696368,100.0331209
临沂,35.07240907,118.3407682,临沂机场,35.053453,118.4195634
柳州,24.32905335,109.4224018,白莲机场,24.20890925,109.4112136
泸州,28.8959298,105.4439703,蓝田机场,28.84767278,105.3876202
