departure_city,landing_city
阿克苏,北京
阿克苏,重庆
阿克苏,杭州
阿克苏,和田
阿克苏,上海
阿克苏,乌鲁木齐
阿勒泰,乌鲁木齐
安庆,北京
安庆,海口
安庆,昆明
安庆,宁波
安庆,厦门
安庆,西安
包头,北京
包头,成都
包头,广州
包头,哈尔滨
包头,杭州
包头,济南
包头,昆明
包头,兰州
包头,洛阳
包头,青岛
包头,三亚
包头,上海
包头,沈阳
包头,深圳
包头,石家庄
包头,太原
包头,天津
包头,武汉
包头,乌鲁木齐
包头,郑州
保山,北京
保山,广州
保山,杭州
保山,昆明
保山,深圳
北海,北京
北海,长沙
北海,成都
北海,重庆
北海,广州
北海,桂林
北海,贵阳
北海,哈尔滨
北海,海口
北海,杭州
北海,昆明
北海,丽江
北海,南昌
北海,上海
北海,沈阳
北海,深圳
北海,天津
北海,武汉
北海,西安
北海,郑州
北海,遵义
北京,阿克苏
北京,安庆
北京,鞍山
北京,保山
北京,包头
北京,北海
北京,长白山
北京,长春
北京,常德
北京,长沙
北京,长治
北京,常州
北京,朝阳
北京,成都
北京,赤峰
北京,重庆
北京,大理
北京,大连
北京,丹东
北京,大庆
北京,达州
北京,东营
北京,敦煌
北京,鄂尔多斯
北京,恩施
北京,二连浩特
北京,阜阳
北京,福州
北京,赣州
北京,广元
北京,广州
北京,桂林
北京,贵阳
北京,哈尔滨
北京,海口
北京,海拉尔
北京,哈密
北京,杭州
北京,合肥
北京,黑河
北京,淮安
北京,呼和浩特
北京,加格达奇
北京,佳木斯
北京,嘉峪关
北京,揭阳
北京,济南
北京,景德镇
北京,井冈山
北京,鸡西
北京,库尔勒
北京,昆明
北京,兰州
北京,拉萨
北京,连城
北京,连云港
北京,丽江
北京,临沂
北京,柳州
北京,洛阳
北京,泸州
北京,吕梁
北京,芒市
北京,满洲里
北京,梅县
北京,绵阳
北京,牡丹江
北京,南昌
北京,南充
北京,南京
北京,南宁
北京,南通
北京,宁波
北京,攀枝花
北京,普洱
北京,青岛
北京,三亚
北京,上海
北京,沈阳
北京,深圳
北京,太原
北京,台州
北京,腾冲
北京,通化
北京,通辽
北京,铜仁
北京,吐鲁番
北京,潍坊
北京,威海
北京,温州
北京,乌海
北京,武汉
北京,乌兰浩特
北京,乌鲁木齐
北京,无锡
北京,厦门
北京,西安
北京,香格里拉
北京,襄阳
北京,西昌
北京,锡林浩特
北京,西宁
北京,西双版纳
北京,延安
北京,盐城
北京,扬州
北京,延吉
北京,烟台
北京,宜宾
北京,宜昌
北京,宜春
北京,伊春
北京,银川
北京,义乌
北京,榆林
北京,运城
北京,张家界
北京,昭通
北京,郑州
北京,中卫
北京,珠海
北京,遵义
百色,重庆
百色,广州
百色,桂林
百色,上海
百色,深圳
百色,天津
长春,北京
长春,长白山
长春,长沙
长春,常州
长春,成都
长春,重庆
长春,鄂尔多斯
长春,广州
长春,桂林
长春,海口
长春,杭州
长春,合肥
长春,淮安
长春,呼和浩特
长春,济南
长春,昆明
长春,兰州
长春,连云港
长春,临沂
长春,南昌
长春,南京
长春,南宁
长春,青岛
长春,三亚
长春,上海
长春,深圳
长春,太原
长春,唐山
长春,天津
长春,威海
长春,温州
长春,武汉
长春,无锡
长春,厦门
长春,西安
长春,延吉
长春,烟台
长春,郑州
长沙,北海
长沙,北京
长沙,毕节
长沙,长春
长沙,成都
长沙,重庆
长沙,大理
长沙,大连
长沙,大庆
长沙,福州
长沙,广州
长沙,贵阳
长沙,哈尔滨
长沙,海口
长沙,杭州
长沙,惠州
长沙,揭阳
长沙,济南
长沙,济宁
长沙,昆明
长沙,兰州
长沙,拉萨
长沙,荔波
长沙,丽江
长沙,临沂
长沙,黎平
长沙,泸州
长沙,南京
长沙,南宁
长沙,南通
长沙,宁波
长沙,青岛
长沙,三亚
长沙,上海
长沙,沈阳
长沙,石家庄
长沙,太原
长沙,台州
长沙,腾冲
长沙,天津
长沙,铜仁
长沙,温州
长沙,乌鲁木齐
长沙,厦门
长沙,西安
长沙,兴义
长沙,西宁
长沙,西双版纳
长沙,徐州
长沙,银川
长沙,榆林
长沙,张家界
长沙,珠海
长沙,遵义
长治,北京
长治,成都
长治,重庆
长治,桂林
长治,海口
长治,昆明
长治,南宁
长治,上海
长治,太原
长治,天津
长治,厦门
常德,北京
常德,广州
常德,海口
常德,昆明
常德,上海
常德,深圳
常州,北京
常州,长春
常州,成都
常州,重庆
常州,大连
常州,广州
常州,哈尔滨
常州,昆明
常州,深圳
常州,厦门
常州,西安
常州,宜昌
常州,银川
成都,鞍山
成都,包头
成都,北海
成都,北京
成都,长春
成都,昌都
成都,长沙
成都,长治
成都,常州
成都,池州
成都,大理
成都,大连
成都,稻城
成都,大庆
成都,东营
成都,福州
成都,格尔木
成都,广州
成都,桂林
成都,贵阳
成都,哈尔滨
成都,海口
成都,邯郸
成都,杭州
成都,合肥
成都,黄山
成都,呼和浩特
成都,惠州
成都,揭阳
成都,济南
成都,金昌
成都,景德镇
成都,井冈山
成都,济宁
成都,康定
成都,喀什
成都,克拉玛依
成都,库尔勒
成都,昆明
成都,兰州
成都,拉萨
成都,连云港
成都,丽江
成都,林芝
成都,柳州
成都,洛阳
成都,南昌
成都,南京
成都,南宁
成都,南通
成都,南阳
成都,宁波
成都,攀枝花
成都,普洱
成都,黔江
成都,青岛
成都,日喀则
成都,三亚
成都,上海
成都,沈阳
成都,深圳
成都,石家庄
成都,太原
成都,台州
成都,腾冲
成都,天津
成都,铜仁
成都,温州
成都,乌海
成都,武汉
成都,乌鲁木齐
成都,无锡
成都,夏河
成都,厦门
成都,西安
成都,
成都,西昌
成都,兴义
成都,西宁
成都,西双版纳
成都,盐城
成都,扬州
成都,烟台
成都,宜昌
成都,银川
成都,伊宁
成都,义乌
成都,运城
成都,玉树
成都,张家界
成都,张家口
成都,张掖
成都,湛江
成都,昭通
成都,郑州
成都,珠海
成都,遵义
赤峰,北京
赤峰,哈尔滨
赤峰,海拉尔
赤峰,杭州
赤峰,呼和浩特
赤峰,上海
赤峰,天津
重庆,阿克苏
重庆,百色
重庆,北海
重庆,北京
重庆,长春
重庆,昌都
重庆,长沙
重庆,长治
重庆,常州
重庆,大理
重庆,大连
重庆,敦煌
重庆,鄂尔多斯
重庆,福州
重庆,广州
重庆,桂林
重庆,贵阳
重庆,哈尔滨
重庆,海口
重庆,杭州
重庆,合肥
重庆,衡阳
重庆,淮安
重庆,黄山
重庆,呼和浩特
重庆,惠州
重庆,嘉峪关
重庆,揭阳
重庆,济南
重庆,库尔勒
重庆,昆明
重庆,兰州
重庆,拉萨
重庆,丽江
重庆,临沂
重庆,林芝
重庆,柳州
重庆,洛阳
重庆,吕梁
重庆,南昌
重庆,南京
重庆,南宁
重庆,南通
重庆,宁波
重庆,攀枝花
重庆,黔江
重庆,青岛
重庆,三亚
重庆,上海
重庆,沈阳
重庆,深圳
重庆,石家庄
重庆,太原
重庆,台州
重庆,腾冲
重庆,天津
重庆,温州
重庆,武汉
重庆,乌兰浩特
重庆,乌鲁木齐
重庆,无锡
重庆,梧州
重庆,厦门
重庆,西安
重庆,襄阳
重庆,西昌
重庆,兴义
重庆,西宁
重庆,西双版纳
重庆,徐州
重庆,延安
重庆,烟台
重庆,银川
重庆,义乌
重庆,运城
重庆,郑州
重庆,珠海
昌都,成都
昌都,重庆
昌都,拉萨
昌都,天津
朝阳,北京
朝阳,大连
朝阳,上海
朝阳,天津
达州,北京
达州,广州
达州,昆明
达州,上海
达州,深圳
大理,北京
大理,长沙
大理,成都
大理,重庆
大理,广州
大理,贵阳
大理,昆明
大理,绵阳
大理,南宁
大理,上海
大理,西安
大理,西双版纳
大连,北京
大连,长沙
大连,常州
大连,朝阳
大连,成都
大连,重庆
大连,大庆
大连,福州
大连,广州
大连,贵阳
大连,海口
大连,杭州
大连,合肥
大连,淮安
大连,呼和浩特
大连,佳木斯
大连,揭阳
大连,济南
大连,济宁
大连,昆明
大连,兰州
大连,连云港
大连,临沂
大连,洛阳
大连,梅县
大连,牡丹江
大连,南京
大连,南通
大连,宁波
大连,青岛
大连,齐齐哈尔
大连,三亚
大连,上海
大连,深圳
大连,石家庄
大连,太原
大连,天津
大连,通化
大连,潍坊
大连,温州
大连,武汉
大连,无锡
大连,厦门
大连,西安
大连,锡林浩特
大连,扬州
大连,延吉
大连,烟台
大连,伊春
大连,银川
大连,郑州
大连,珠海
大连,遵义
丹东,北京
丹东,青岛
丹东,上海
丹东,深圳
东营,北京
东营,成都
东营,佛山
东营,上海
东营,郑州
